Ad Archive ID,Page Profile URI,Website URL,Facebook,Instagram,TikTok,YouTube,Email,Phone,Twitter,LinkedIn,Pinterest,Page ID,Link URL,Page Name,Facebook AD URL,Body Text,Page Like Count,CTA Text,Content (Caption),Publisher Platform,Start Date,End Date,Videos,Images,Cards Body,Cards Link URL,Cards Caption,Cards CTA Text,Cards Images,Cards Videos
1749546136033438,https://www.facebook.com/JRCProjectsOfficial/,facebook.com,https://www.facebook.com/JRCProjectsOfficial/,,,,jrcprojects.bangalore@gmail.com,+91 79952 32837,,,,259688714702687,https://www.facebook.com/JRCProjectsOfficial/,JRC Projects,https://www.facebook.com/ads/library/?id=1749546136033438,"Experience purposeful villa living at JRC Kanso.

✔ Luxury 4 BHK Villas | 2900–3200 sq.ft.
✔ 8-acre campus with low density (16 villas/acre)
✔ Private covered terraces & family spaces
✔ Close to IT hubs like Electronic City, Whitefield & ORR
✔ Sarjapur’s Next Landmark Villa Community
✔ Dedicated clubhouse (~21500 sq.ft.) with 30 amenities",4022,Learn more,facebook.com,"FACEBOOK; INSTAGRAM; AUDIENCE_NETWORK; WHATSAPP; THREADS",2026-05-30,2026-06-17,,Original: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710745496_2557830031304305_6420924702754228055_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Q3XLoQCVlGQQ7kNvwGbftiI&_nc_oc=AdrrXTi2Gd3tPupzJEL26WGSk427Zm5Dr5zUBGdd4bDcRsTnexGHCA1vD1SxSoNIGWbw_qA_WgVe5RW-CBhXq4Rc&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af_VPp3cAMOirDi-uBfY2JMlOM6Whcv7oQ8HZMOy-nQ2wg&oe=6A396BB0 | Resized: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710755223_1485431396319730_1396738280563335008_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=eSnSAX_To3sQ7kNvwFr9Yv3&_nc_oc=AdpcnXBsJyX0r8lYSUZj4c7soApyRkK36Xwx5ktXRhMDahFlsJYQa7NVCtfGKAPTxW9IPqmygWqVM3uaEFkE2V_h&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af9OLf8Ln6lthZa1ScQ-wXmJEnwC889Om4lGVHoONpaJJQ&oe=6A397A5F,,,,,,
1014140058239763,https://www.facebook.com/JRCProjectsOfficial/,facebook.com,https://www.facebook.com/JRCProjectsOfficial/,,,,jrcprojects.bangalore@gmail.com,+91 79952 32837,,,,259688714702687,https://www.facebook.com/JRCProjectsOfficial/,JRC Projects,https://www.facebook.com/ads/library/?id=1014140058239763,"Experience purposeful villa living at JRC Kanso.

✔ Luxury 4 BHK Villas | 2900–3200 sq.ft.
✔ 8-acre campus with low density (16 villas/acre)
✔ Private covered terraces & family spaces
✔ Close to IT hubs like Electronic City, Whitefield & ORR
✔ Sarjapur’s Next Landmark Villa Community
✔ Dedicated clubhouse (~21500 sq.ft.) with 30 amenities",4022,Learn more,facebook.com,"FACEBOOK; INSTAGRAM; AUDIENCE_NETWORK; WHATSAPP; THREADS",2026-05-30,2026-06-17,,Original: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/708414915_924616703926449_4925232350374806040_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=RCkwhS2rNoQQ7kNvwHYspeP&_nc_oc=AdpaN29E96xY1ZGljlC4T-6UBvjEiKGZqr8LjtLqGo2nlbqgGHF_CwO5pbVg-ZNpDlKmbL-VyCpRYKN8Wg8w6vZg&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af-UQKnoX5BPD43-oODHsiiCPtwYj-50Dbiuzx1yRnf7Qg&oe=6A395E84 | Resized: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/709067047_1634714437644769_6130844647185421936_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=c9TpFlmPfDwQ7kNvwG8Ch5x&_nc_oc=Adryn2R1ricrZqlMLK2h1NEQYOEQx0WO94FF_C4qdLE6EsNXYkYwMV1R9nY_J3CR64r8YwIjn37Iq0Yc2zo9NmbG&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af9kDxcezQ4vgGS8OBRmbXqv8wbZ6O9tUJpqPcJhbuMkGA&oe=6A396C92,,,,,,
929892350041343,https://www.facebook.com/buildersrisinia/,risinia.com,https://www.facebook.com/buildersrisinia/,,,,digital@risinia.com,"9100888803, 02200010725, 022000051505, 02200005562, 02200004945, +919100888803, +91 91008 88803",,,,187840181816453,https://www.risinia.com/capital-greens.html,Risinia Builders,https://www.facebook.com/ads/library/?id=929892350041343,"The best homes aren’t found. They’re secured early.
An exclusive community of 3 BHK villas at Gagillapur is now available at a new launch price of ₹6699/sq. ft. Unlock your place before the rest arrive. Enquire today.",15183,Learn more,https://www.risinia.com/capital-greens.html,"FACEBOOK; INSTAGRAM",2026-05-04,2026-06-17,,Original: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/690638578_1640974223801009_2263761160201165722_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=DnPXMp3FDGUQ7kNvwHRq29T&_nc_oc=AdquN9c1E939yIMlIU18rx7vyQMZEwvFII43Be5DehXM_PJEsEiG0hLJ-kXk4RHPD-w6ilsnt8ytu61lsbFLw8WH&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af8HxFIpT8_XMcaox2_2JJ5-jMN3iJgtxCUjRkZoPrfRKg&oe=6A39586F | Resized: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/690406680_1661735854975509_867704009698465652_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=468pHUtD3rwQ7kNvwFelmPO&_nc_oc=AdoQ02z3RlxZ6rWKxAA5Cdj7RAjyAOlalBTAu59UNcNn4mZA19we_g6fpzYDDM0aSVOhTv431SmdcL9P0Lib7o2E&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af_Tdy2nipeQjNNdzWrfcJ_SndqkdzM19UIBoA5_6rYRSA&oe=6A3979F1,,,,,,
1616190630263185,https://www.facebook.com/kmvspaces/,kmvspaces.com,https://www.facebook.com/kmvspaces/,,,,,,,,,1503967052957463,https://www.kmvspaces.com/trayatadepalli,KMV Spaces,https://www.facebook.com/ads/library/?id=1616190630263185,"From the makers of KMV VIVAAN, and the creators of Vijayawada’s largest villa community and the tallest building in Vijayawada. your lifestyle",20872,Learn more,kmvspaces.com,"FACEBOOK; INSTAGRAM; AUDIENCE_NETWORK; WHATSAPP; THREADS",2026-05-29,2026-06-17,,Original: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710755323_1679581003167929_3814677132512585651_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=fWJ_b0uYUtMQ7kNvwFhxfKq&_nc_oc=AdpoxVy2EwfDApaWaZ07odGc-yS6P16MlFWpEeiS4I-e_BojhCTe7G0LIgeLTrGdbAwD3mBo0PRrpTzhdxeOTcZb&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af-io-Zqid6n8aAaZOG3_ay9rR6fyPOP9q_pkk4-HnKEFA&oe=6A3969C9 | Resized: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710745579_1002158028937517_3812286098156170511_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=J2EG05Of1gUQ7kNvwHERUJo&_nc_oc=Adrg_gXwqmvzFyjOmcnMFGXwXh8eZq-4GvTcc255WQFbXW5iV7C2eoi-wqCA1R3C7ZEVsDsdmzECW7Ouq9Oi39Aa&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af9i4emT7a5lAexOFjxNr6fNomtF2pFCrCo8CMWGFEADgQ&oe=6A39711C,,,,,,
1744761746867454,https://www.facebook.com/kmvspaces/,kmvspaces.com,https://www.facebook.com/kmvspaces/,,,,,,,,,1503967052957463,https://www.kmvspaces.com/trayatadepalli,KMV Spaces,https://www.facebook.com/ads/library/?id=1744761746867454,"From the makers of KMV VIVAAN, and the creators of Vijayawada’s largest villa community and the tallest building in Vijayawada. your lifestyle",20872,Learn more,kmvspaces.com,"FACEBOOK; INSTAGRAM; AUDIENCE_NETWORK; WHATSAPP; THREADS",2026-05-31,2026-06-17,,Original: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710755323_1679581003167929_3814677132512585651_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=fWJ_b0uYUtMQ7kNvwFhxfKq&_nc_oc=AdpoxVy2EwfDApaWaZ07odGc-yS6P16MlFWpEeiS4I-e_BojhCTe7G0LIgeLTrGdbAwD3mBo0PRrpTzhdxeOTcZb&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af-io-Zqid6n8aAaZOG3_ay9rR6fyPOP9q_pkk4-HnKEFA&oe=6A3969C9 | Resized: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710745579_1002158028937517_3812286098156170511_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=J2EG05Of1gUQ7kNvwHERUJo&_nc_oc=Adrg_gXwqmvzFyjOmcnMFGXwXh8eZq-4GvTcc255WQFbXW5iV7C2eoi-wqCA1R3C7ZEVsDsdmzECW7Ouq9Oi39Aa&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af9i4emT7a5lAexOFjxNr6fNomtF2pFCrCo8CMWGFEADgQ&oe=6A39711C,,,,,,
2244062223002826,https://www.facebook.com/kmvspaces/,kmvspaces.com,https://www.facebook.com/kmvspaces/,,,,,,,,,1503967052957463,https://www.kmvspaces.com/trayatadepalli,KMV Spaces,https://www.facebook.com/ads/library/?id=2244062223002826,"From the makers of KMV VIVAAN, and the creators of Vijayawada’s largest villa community and the tallest building in Vijayawada. your lifestyle",20872,Learn more,kmvspaces.com,"FACEBOOK; INSTAGRAM; AUDIENCE_NETWORK; WHATSAPP; THREADS",2026-05-31,2026-06-17,,Original: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710755323_1679581003167929_3814677132512585651_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=fWJ_b0uYUtMQ7kNvwFhxfKq&_nc_oc=AdpoxVy2EwfDApaWaZ07odGc-yS6P16MlFWpEeiS4I-e_BojhCTe7G0LIgeLTrGdbAwD3mBo0PRrpTzhdxeOTcZb&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af-io-Zqid6n8aAaZOG3_ay9rR6fyPOP9q_pkk4-HnKEFA&oe=6A3969C9 | Resized: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710745579_1002158028937517_3812286098156170511_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=J2EG05Of1gUQ7kNvwHERUJo&_nc_oc=Adrg_gXwqmvzFyjOmcnMFGXwXh8eZq-4GvTcc255WQFbXW5iV7C2eoi-wqCA1R3C7ZEVsDsdmzECW7Ouq9Oi39Aa&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af9i4emT7a5lAexOFjxNr6fNomtF2pFCrCo8CMWGFEADgQ&oe=6A39711C,,,,,,
1586553963119325,https://www.facebook.com/kmvspaces/,kmvspaces.com,https://www.facebook.com/kmvspaces/,,,,,,,,,1503967052957463,https://www.kmvspaces.com/trayatadepalli,KMV Spaces,https://www.facebook.com/ads/library/?id=1586553963119325,"From the makers of KMV VIVAAN, and the creators of Vijayawada’s largest villa community and the tallest building in Vijayawada. your lifestyle",20872,Learn more,kmvspaces.com,"FACEBOOK; INSTAGRAM; AUDIENCE_NETWORK; WHATSAPP; THREADS",2026-05-31,2026-06-17,,Original: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710755323_1679581003167929_3814677132512585651_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=fWJ_b0uYUtMQ7kNvwFhxfKq&_nc_oc=AdpoxVy2EwfDApaWaZ07odGc-yS6P16MlFWpEeiS4I-e_BojhCTe7G0LIgeLTrGdbAwD3mBo0PRrpTzhdxeOTcZb&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af-io-Zqid6n8aAaZOG3_ay9rR6fyPOP9q_pkk4-HnKEFA&oe=6A3969C9 | Resized: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710745579_1002158028937517_3812286098156170511_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=J2EG05Of1gUQ7kNvwHERUJo&_nc_oc=Adrg_gXwqmvzFyjOmcnMFGXwXh8eZq-4GvTcc255WQFbXW5iV7C2eoi-wqCA1R3C7ZEVsDsdmzECW7Ouq9Oi39Aa&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af9i4emT7a5lAexOFjxNr6fNomtF2pFCrCo8CMWGFEADgQ&oe=6A39711C,,,,,,
3277886302394851,https://www.facebook.com/kmvspaces/,kmvspaces.com,https://www.facebook.com/kmvspaces/,,,,,,,,,1503967052957463,https://www.kmvspaces.com/trayatadepalli,KMV Spaces,https://www.facebook.com/ads/library/?id=3277886302394851,"From the makers of KMV VIVAAN, and the creators of Vijayawada’s largest villa community and the tallest building in Vijayawada. your lifestyle",20872,Learn more,kmvspaces.com,"FACEBOOK; INSTAGRAM; AUDIENCE_NETWORK; WHATSAPP; THREADS",2026-05-31,2026-06-17,,Original: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710755323_1679581003167929_3814677132512585651_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=fWJ_b0uYUtMQ7kNvwFhxfKq&_nc_oc=AdpoxVy2EwfDApaWaZ07odGc-yS6P16MlFWpEeiS4I-e_BojhCTe7G0LIgeLTrGdbAwD3mBo0PRrpTzhdxeOTcZb&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af-io-Zqid6n8aAaZOG3_ay9rR6fyPOP9q_pkk4-HnKEFA&oe=6A3969C9 | Resized: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710745579_1002158028937517_3812286098156170511_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=J2EG05Of1gUQ7kNvwHERUJo&_nc_oc=Adrg_gXwqmvzFyjOmcnMFGXwXh8eZq-4GvTcc255WQFbXW5iV7C2eoi-wqCA1R3C7ZEVsDsdmzECW7Ouq9Oi39Aa&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af9i4emT7a5lAexOFjxNr6fNomtF2pFCrCo8CMWGFEADgQ&oe=6A39711C,,,,,,
1027027939663425,https://www.facebook.com/kmvspaces/,kmvspaces.com,https://www.facebook.com/kmvspaces/,,,,info@kmvspaces.com,"04023757775, +91602602602, 18887239424",,,,1503967052957463,https://www.kmvspaces.com/trayatadepalli,KMV Spaces,https://www.facebook.com/ads/library/?id=1027027939663425,"From the makers of KMV VIVAAN, and the creators of Vijayawada’s largest villa community and the tallest building in Vijayawada. your lifestyle",20872,Learn more,kmvspaces.com,"FACEBOOK; INSTAGRAM; AUDIENCE_NETWORK; WHATSAPP; THREADS",2026-05-31,2026-06-17,,Original: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710755323_1679581003167929_3814677132512585651_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=fWJ_b0uYUtMQ7kNvwFhxfKq&_nc_oc=AdpoxVy2EwfDApaWaZ07odGc-yS6P16MlFWpEeiS4I-e_BojhCTe7G0LIgeLTrGdbAwD3mBo0PRrpTzhdxeOTcZb&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af-io-Zqid6n8aAaZOG3_ay9rR6fyPOP9q_pkk4-HnKEFA&oe=6A3969C9 | Resized: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/710745579_1002158028937517_3812286098156170511_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=J2EG05Of1gUQ7kNvwHERUJo&_nc_oc=Adrg_gXwqmvzFyjOmcnMFGXwXh8eZq-4GvTcc255WQFbXW5iV7C2eoi-wqCA1R3C7ZEVsDsdmzECW7Ouq9Oi39Aa&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af9i4emT7a5lAexOFjxNr6fNomtF2pFCrCo8CMWGFEADgQ&oe=6A39711C,,,,,,
3151789688351100,https://www.facebook.com/VertexHomesPvtLtd/,,https://www.facebook.com/VertexHomesPvtLtd/,,,,sales@vertexhomes.com,+91 90196 68668,,,,312779428912833,,Vertex Homes,https://www.facebook.com/ads/library/?id=3151789688351100,"Some homes are evaluated online.
Some need to be experienced in person.

Vertex Kingston Park is one of them.

A ready-to-move 4 & 5 BHK villa community in Nallagandla with 100+ families already living amidst 40 acres of landscaped greens.

Private lawns. Wide internal roads. Club Royale lifestyle experiences. And the kind of space Hyderabad is rapidly running out of.

Schedule your private villa experience this weekend.",23472,Call now,,"FACEBOOK; INSTAGRAM; WHATSAPP",2026-05-27,2026-06-17,HD: https://video.fjai6-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQMezIGhiTrAWl2vzjgIwzkwtO-NApA4IoHsHdvGPH9Avcmlm7QaOrmTCy2aLN2pVkxrY_mUcjTKtqFwgIY9qKgtmPVqwg1qkWaYxeAl4smg3Q.mp4?_nc_cat=111&_nc_oc=AdpNOkK4v9mpDY80KrHgXYrJwhkNnnzXrYF7dUDzN8KxEYmKYVEmb9_y9MMgJWBU9DnAFxPYtfgsVHjYocRXBlN7&_nc_sid=b66105&_nc_ht=video.fjai6-1.fna.fbcdn.net&_nc_ohc=KCDzIuBooqsQ7kNvwE8a1aa&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjE0NTU1MDEyNjYzNTQ2NTYsImFzc2V0X2FnZV9kYXlzIjo2NSwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjY1LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=80d2a42c3cf401ab&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC81RDQxNDBEQkVENjc1RjQ3MjA0Qjg2NDA1RTlBMjQ5M19tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50LzUyNDQ0QzcxOTM1MkVDMTBENDY2MkYzMjMyN0ZDOTkwX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbAh5y_qfGVBRUCKAJDMywXQFBmZmZmZmYYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&_nc_zt=28&oh=00_Af9oNIORbC3yo3gdELEkT3nSnz2kL-XnvW6LBhclHP6bqw&oe=6A396025 | SD: https://video.fjai6-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQMC9t-p55tfuo8ifyUFjt8xzUB8icsaYhrzk2L6Czapeshnqd8XuUKuIOaXMANw9lh-0zcwItx7AR-HWufrAqu9mu_zkE4kRiT6Atauew.mp4?_nc_cat=108&_nc_oc=AdqMeioypZMiDdTj7u6l0OZgAXgQihycDspCzJWZjRgRXHja6tR3PlvET49JJGrZgCndWmY2scun_APEjWdC9Pv4&_nc_sid=ef5aa3&_nc_ht=video.fjai6-1.fna.fbcdn.net&_nc_ohc=xRQsfj29x-oQ7kNvwHbnLD8&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTQ1NTUwMTI2NjM1NDY1NiwiYXNzZXRfYWdlX2RheXMiOjY1LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NjUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&_nc_zt=28&oh=00_Af9NPWwYaauk8gg2ZOYmc07O7D85wIQhM332pn8uFogmXA&oe=6A39855A | Preview: https://scontent.fjai6-1.fna.fbcdn.net/v/t39.35426-6/709101645_2261986734542080_5380185602218126526_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=JajlHGqe-qIQ7kNvwH9M2Ds&_nc_oc=AdpWgZxRIMKh1FXiGTzJL0zEtCfe57JwVRcgj8AJr2NW4zpmkRXSukw9W0cD22bSdvLqOD6ZNXg6B0a_0x573luo&_nc_zt=14&_nc_ht=scontent.fjai6-1.fna&_nc_gid=fOftnKTvlixLz2EXea3OoA&_nc_ss=7b289&oh=00_Af9KoClzmR52B1YB3e6bJs3l4bsVHUiCFkAn9qJLIG-jUw&oe=6A396A7C,,,,,,,
